"BENCHMARKALTITUDE","BENCHMARKID","BENCHMARKLATITUDE","BENCHMARKLONGITUDE","DRONEALTITUDE","DRONELATITUDE","DRONELONGITUDE","LOGMARK","OFFSET","OFFSETAROUNDLATITUDE","OFFSETAROUNDLONGITUDE","SATELLITECOUNT","UPDATETIMESTAMP"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869860839409","170.54657534779383","","2.8911428","2.8321326","0.5811474","0","1763871623723"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869864539872","170.54657529585154","","2.8879287","2.8280196","0.58518124","0","1763871623940"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869862439163","170.54657526078708","","2.8907678","2.8303545","0.58790433","0","1763871624162"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869863785318","170.54657521793882","","2.8899817","2.8288584","0.59123194","0","1763871624337"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869870637153","170.5465752136526","","2.8825958","2.8212426","0.5915648","0","1763871624546"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858698832111315","170.5465753287666","","2.8670888","2.8072667","0.58262503","0","1763871624762"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869897112045","170.54657539966485","","2.8508427","2.791816","0.57711905","0","1763871624941"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858699099595924","170.54657552127188","","2.8349538","2.7775362","0.56767505","0","1763871625152"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869895108432","170.5465755060953","","2.8513632","2.794043","0.5688536","0","1763871625322"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858698246437136","170.5465750045495","","2.9359663","2.8723636","0.6078038","0","1763871625541"
"313.09","36757301","-45.858724089","170.546582831","0.2","-45.8586971200951","170.54657431512103","","3.0696437","2.9975548","0.66134495","0","1763871625753"
"313.09","36757301","-45.858724089","170.546582831","0.3","-45.85869558539946","170.54657376811016","","3.2453728","3.1681342","0.70382595","0","1763871625924"
"313.09","36757301","-45.858724089","170.546582831","0.3","-45.85869368665123","170.5465733830182","","3.4579186","3.3791773","0.7337323","0","1763871626145"
"313.09","36757301","-45.858724089","170.546582831","0.4","-45.8586914086484","170.54657329874968","","3.7070405","3.632374","0.7402766","0","1763871626365"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85868908645387","170.54657294639594","","3.965492","3.8904824","0.7676404","0","1763871626541"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85868692474834","170.54657253421826","","4.2074413","4.130753","0.79965025","0","1763871626761"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85868493910396","170.54657245696458","","4.425407","4.3514543","0.80564976","0","1763871626969"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858682889290634","170.54657293461844","","4.643335","4.5792885","0.7685551","0","1763871627131"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85868034709892","170.54657375670936","","4.912657","4.8618493","0.7047113","0","1763871627355"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858677672532345","170.5465744674542","","5.1998487","5.1591234","0.64951473","0","1763871627527"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858675110055","170.54657539236572","","5.474504","5.443939","0.5776859","0","1763871627744"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85867291793495","170.54657650616537","","5.7087607","5.68759","0.491188","0","1763871627967"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85867058222426","170.5465778879823","","5.959577","5.947201","0.3838758","0","1763871628133"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85866807905005","170.54657910386913","","6.2321506","6.2254252","0.28944978","0","1763871628354"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858665960369024","170.54658007531927","","6.464457","6.4609137","0.21400675","0","1763871628573"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.8586637904685","170.54658117944192","","6.703322","6.702095","0.12826034","0","1763871628731"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85866170580746","170.54658189357173","","6.934184","6.9338017","0.072800875","0","1763871628957"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85865982825815","170.5465821481993","","7.1426854","7.142489","0.05302645","0","1763871629114"
"313.09","36757301","-45.858724089","170.546582831","-0.1","-45.858658311022886","170.54658229436862","","7.311246","7.311127","0.041674905","0","1763871629345"
"313.09","36757301","-45.858724089","170.546582831","-0.2","-45.85865746259445","170.54658243810593","","7.405492","7.405429","0.030512236","0","1763871629554"
"313.09","36757301","-45.858724089","170.546582831","-0.3","-45.858657125954096","170.54658272717188","","7.44285","7.442846","0.008063314","0","1763871629727"
"313.09","36757301","-45.858724089","170.546582831","-0.4","-45.85865731659446","170.54658311463638","","7.421689","7.4216566","0.02202726","0","1763871629946"
"313.09","36757301","-45.858724089","170.546582831","-0.4","-45.858657857577406","170.54658360361415","","7.3617716","7.361527","0.060001377","0","1763871630154"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85865828408104","170.54658405661394","","7.314741","7.3141217","0.095181435","0","1763871630327"
